Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary
32,Male,Bachelor's,Software Engineer,5," 90,000 "
28,Female,Master's,Data Analyst,3," 65,000 "
45,Male,PhD,Senior Manager,15," 1,50,000 "
36,Female,Bachelor's,Sales Associate,7," 60,000 "
52,Male,Master's,Director,20," 2,00,000 "
29,Male,Bachelor's,Marketing Analyst,2," 55,000 "
42,Female,Master's,Product Manager,12," 1,20,000 "
31,Male,Bachelor's,Sales Manager,4," 80,000 "
26,Female,Bachelor's,Marketing Coordinator,1," 45,000 "
38,Male,PhD,Senior Scientist,10," 1,10,000 "
29,Male,Master's,Software Developer,3," 75,000 "
48,Female,Bachelor's,HR Manager,18," 1,40,000 "
35,Male,Bachelor's,Financial Analyst,6," 65,000 "
40,Female,Master's,Project Manager,14," 1,30,000 "
27,Male,Bachelor's,Customer Service Rep,2," 40,000 "
44,Male,Bachelor's,Operations Manager,16," 1,25,000 "
33,Female,Master's,Marketing Manager,7," 90,000 "
39,Male,PhD,Senior Engineer,12," 1,15,000 "
25,Female,Bachelor's,Data Entry Clerk,0," 35,000 "
51,Male,Bachelor's,Sales Director,22," 1,80,000 "
34,Female,Master's,Business Analyst,5," 80,000 "
47,Male,Master's,VP of Operations,19," 1,90,000 "
30,Male,Bachelor's,IT Support,2," 50,000 "
36,Female,Bachelor's,Recruiter,9," 60,000 "
41,Male,Master's,Financial Manager,13," 1,40,000 "
28,Female,Bachelor's,Social Media Specialist,3," 45,000 "
37,Female,Master's,Software Manager,11," 1,10,000 "
24,Male,Bachelor's,Junior Developer,1," 40,000 "
43,Female,PhD,Senior Consultant,15," 1,40,000 "
33,Male,Master's,Product Designer,6," 90,000 "
50,Male,Bachelor's,CEO,25," 2,50,000 "
31,Female,Bachelor's,Accountant,4," 55,000 "
29,Male,Master's,Data Scientist,3," 75,000 "
39,Female,Bachelor's,Marketing Specialist,10," 65,000 "
46,Male,PhD,Senior Manager,20," 1,70,000 "
27,Male,Bachelor's,Technical Writer,2," 45,000 "
35,Female,Bachelor's,HR Generalist,7," 60,000 "
42,Male,Master's,Project Engineer,14," 1,15,000 "
26,Female,Bachelor's,Customer Success Rep,1," 40,000 "
49,Male,Bachelor's,Sales Executive,21," 1,60,000 "
34,Female,Master's,UX Designer,5," 80,000 "
48,Male,Master's,Operations Director,18," 1,90,000 "
30,Male,Bachelor's,Network Engineer,3," 60,000 "
36,Female,Bachelor's,Administrative Assistant,8," 45,000 "
41,Male,Master's,Strategy Consultant,13," 1,30,000 "
28,Female,Bachelor's,Copywriter,2," 40,000 "
32,Male,Bachelor's,Account Manager,5," 75,000 "
45,Female,Master's,Director of Marketing,16," 1,80,000 "
38,Male,PhD,Senior Scientist,11," 1,20,000 "
25,Male,Bachelor's,Help Desk Analyst,0," 35,000 "
51,Female,Bachelor's,Customer Service Manager,22," 1,30,000 "
33,Male,Master's,Business Intelligence Analyst,7," 85,000 "
40,Female,Bachelor's,Event Coordinator,12," 60,000 "
47,Male,Master's,VP of Finance,19," 2,00,000 "
29,Female,Bachelor's,Graphic Designer,3," 50,000 "
36,Male,Bachelor's,Sales Manager,9," 95,000 "
27,Female,Master's,UX Researcher,2," 65,000 "
43,Male,PhD,Senior Engineer,17," 1,40,000 "
30,Female,Bachelor's,Social Media Manager,4," 55,000 "
